K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
64,112,112,3,7,2,1,4,32,1,1,3,0.12032
64,112,112,3,7,2,1,7,32,1,1,3,0.09456
64,112,112,3,7,1,1,7,32,8,1,1,0.062
64,112,112,3,7,1,1,4,32,2,1,3,0.116175
64,112,112,3,7,2,1,2,32,1,1,3,0.214515
64,112,112,3,7,1,2,4,32,14,1,3,0.13777499999999998
64,112,112,3,7,1,1,2,32,7,1,3,0.185135
64,112,112,3,7,2,1,1,32,4,1,3,0.28435
64,112,112,3,7,2,2,8,32,4,1,3,0.09946
64,112,112,3,7,1,1,7,32,7,1,3,0.10032
64,112,112,3,7,1,1,8,32,7,1,1,0.06248
64,112,112,3,7,1,4,4,32,1,2,3,0.067025
64,112,112,3,7,1,1,8,32,1,1,3,0.07805
64,112,112,3,7,1,1,1,32,1,4,3,0.240975
64,112,112,3,7,2,1,8,32,4,1,3,0.08499
64,112,112,3,7,1,1,2,32,1,4,3,0.14381
64,112,112,3,7,2,2,2,32,4,1,1,0.08646
64,112,112,3,7,1,4,4,32,2,1,3,0.124625
64,112,112,3,7,1,1,1,32,2,7,1,0.18461
64,112,112,3,7,1,2,2,32,8,1,3,0.19782
64,112,112,3,7,1,1,4,32,7,1,1,0.09344
64,112,112,3,7,2,1,2,32,1,4,1,0.086545
64,112,112,3,7,2,1,8,32,2,1,3,0.08984
64,112,112,3,7,2,1,1,32,2,4,1,0.15032
64,112,112,3,7,2,1,1,32,1,1,1,0.20336
64,112,112,3,7,1,2,2,32,4,1,1,0.09072
64,112,112,3,7,2,4,4,32,4,2,1,0.07019500000000001
64,112,112,3,7,1,1,4,32,2,1,1,0.0743
64,112,112,3,7,1,2,4,32,4,2,3,0.08304
64,112,112,3,7,2,1,4,32,4,2,1,0.07162
64,112,112,3,7,2,1,4,32,14,1,1,0.10317
64,112,112,3,7,1,1,1,32,7,1,1,0.20966
64,112,112,3,7,1,2,4,32,2,1,1,0.062195
64,112,112,3,7,2,1,2,32,16,1,3,0.25627500000000003
64,112,112,3,7,1,1,8,32,7,1,3,0.090415
64,112,112,3,7,1,1,8,32,8,1,3,0.083535
64,112,112,3,7,1,1,2,32,7,2,1,0.1215
64,112,112,3,7,1,1,1,32,1,8,1,0.1705
64,112,112,3,7,2,1,1,32,2,7,3,0.266835
64,112,112,3,7,1,2,7,32,1,1,3,0.0744
64,112,112,3,7,1,1,1,32,1,2,1,0.18894499999999997
64,112,112,3,7,1,1,2,32,8,1,1,0.124975
64,112,112,3,7,1,1,2,32,2,2,1,0.107535
64,112,112,3,7,2,1,1,32,4,1,1,0.17587
64,112,112,3,7,1,2,2,32,2,2,3,0.114925
64,112,112,3,7,1,1,1,32,2,8,1,0.18216
64,112,112,3,7,1,1,2,32,16,1,1,0.16576
64,112,112,3,7,1,1,4,32,14,1,3,0.17302
64,112,112,3,7,2,2,2,32,1,2,3,0.109615
64,112,112,3,7,2,1,2,32,7,1,3,0.17027
64,112,112,3,7,1,2,8,32,2,1,1,0.0471
64,112,112,3,7,2,2,4,32,14,1,3,0.125555
64,112,112,3,7,2,2,8,32,2,1,3,0.100975
64,112,112,3,7,2,1,4,32,7,2,3,0.148465
64,112,112,3,7,1,1,7,32,4,1,3,0.08493
64,112,112,3,7,2,2,8,32,7,1,3,0.113965
64,112,112,3,7,2,1,2,32,4,4,1,0.12813
64,112,112,3,7,2,2,8,32,2,1,1,0.069775
64,112,112,3,7,1,1,2,32,8,1,3,0.19933
64,112,112,3,7,2,4,4,32,1,2,1,0.06702
64,112,112,3,7,1,2,2,32,2,2,1,0.07165
64,112,112,3,7,1,1,1,32,16,2,3,0.381105
64,112,112,3,7,2,1,4,32,1,2,3,0.11091
64,112,112,3,7,2,2,8,32,1,1,3,0.100895
64,112,112,3,7,2,1,7,32,2,1,3,0.09808
64,112,112,3,7,1,1,4,32,8,1,3,0.13952
64,112,112,3,7,1,2,2,32,14,1,3,0.23579499999999998
64,112,112,3,7,2,1,1,32,7,1,1,0.18109
64,112,112,3,7,2,1,1,32,1,4,3,0.22128
64,112,112,3,7,1,1,2,32,14,2,1,0.14163
64,112,112,3,7,1,2,7,32,1,1,1,0.050785
64,112,112,3,7,1,1,2,32,4,1,3,0.175955
64,112,112,3,7,1,4,4,32,2,1,1,0.07155
64,112,112,3,7,1,1,2,32,2,1,3,0.175955
64,112,112,3,7,1,2,2,32,8,2,3,0.15571
64,112,112,3,7,2,1,2,32,7,2,1,0.102705
64,112,112,3,7,2,2,4,32,2,2,3,0.072755
64,112,112,3,7,2,1,1,32,4,4,3,0.256595
64,112,112,3,7,1,1,2,32,4,4,1,0.152115
64,112,112,3,7,1,4,4,32,2,2,1,0.046735
64,112,112,3,7,1,1,1,32,4,2,1,0.19062
64,112,112,3,7,1,1,4,32,8,2,3,0.14952
64,112,112,3,7,1,1,4,32,4,2,1,0.08135999999999999
64,112,112,3,7,2,1,2,32,7,4,1,0.12660500000000002
64,112,112,3,7,1,2,4,32,4,1,1,0.06157
64,112,112,3,7,1,1,4,32,1,1,1,0.079405
64,112,112,3,7,2,1,1,32,14,2,3,0.35041500000000003
64,112,112,3,7,2,1,1,32,7,2,3,0.301775
64,112,112,3,7,2,1,8,32,1,1,3,0.0852
64,112,112,3,7,1,2,4,32,7,1,1,0.07254
64,112,112,3,7,1,1,4,32,7,1,3,0.15367999999999998
64,112,112,3,7,2,1,4,32,2,2,3,0.11328
64,112,112,3,7,2,1,4,32,8,1,1,0.074995
64,112,112,3,7,2,2,2,32,2,2,3,0.106465
64,112,112,3,7,2,2,2,32,4,4,3,0.13056
64,112,112,3,7,2,1,1,32,14,2,1,0.214285
64,112,112,3,7,2,1,2,32,4,2,3,0.16189
64,112,112,3,7,2,1,2,32,2,4,1,0.09552
64,112,112,3,7,2,1,4,32,14,1,3,0.15809499999999999
64,112,112,3,7,1,1,2,32,8,2,3,0.26692499999999997
64,112,112,3,7,2,1,7,32,1,1,1,0.059535000000000005
64,112,112,3,7,2,2,4,32,7,1,3,0.118065
64,112,112,3,7,1,1,1,32,7,4,3,0.378095
64,112,112,3,7,1,1,1,32,16,1,3,0.356115
64,112,112,3,7,1,1,1,32,4,4,3,0.29152
64,112,112,3,7,2,1,1,32,8,4,3,0.32520000000000004
64,112,112,3,7,2,1,7,32,2,1,1,0.06216
64,112,112,3,7,1,1,1,32,4,7,1,0.24112
64,112,112,3,7,1,1,1,32,14,2,1,0.25792000000000004
64,112,112,3,7,2,1,2,32,4,1,3,0.16477
64,112,112,3,7,1,1,4,32,2,2,1,0.071535
64,112,112,3,7,1,1,1,32,1,1,1,0.23584
64,112,112,3,7,2,1,8,32,7,1,1,0.08712
64,112,112,3,7,1,2,2,32,7,2,3,0.1703
64,112,112,3,7,1,1,2,32,2,1,1,0.11780499999999999
64,112,112,3,7,1,2,2,32,1,1,3,0.1879
64,112,112,3,7,2,1,2,32,8,2,3,0.24042
64,112,112,3,7,1,2,2,32,4,2,3,0.13878
64,112,112,3,7,2,1,4,32,8,2,1,0.08227
64,112,112,3,7,2,1,2,32,1,2,1,0.092365
64,112,112,3,7,1,1,2,32,1,2,3,0.15408
64,112,112,3,7,2,2,4,32,7,2,3,0.09219
64,112,112,3,7,1,2,2,32,8,1,1,0.10294
64,112,112,3,7,2,1,1,32,2,2,3,0.24318499999999998
64,112,112,3,7,1,2,2,32,7,2,1,0.105325
64,112,112,3,7,2,2,8,32,4,1,1,0.06104
64,112,112,3,7,1,2,2,32,1,2,3,0.115535
64,112,112,3,7,2,2,2,32,8,2,3,0.139245
64,112,112,3,7,2,1,1,32,8,2,3,0.28061
64,112,112,3,7,2,2,4,32,8,1,1,0.06445
64,112,112,3,7,1,2,7,32,4,1,3,0.07270499999999999
64,112,112,3,7,1,2,2,32,14,1,1,0.12676500000000002
64,112,112,3,7,2,1,4,32,16,1,1,0.084785
64,112,112,3,7,1,1,1,32,1,7,3,0.261745
64,112,112,3,7,2,1,8,32,2,1,1,0.05704
64,112,112,3,7,1,2,8,32,8,1,3,0.0712
64,112,112,3,7,2,1,4,32,7,1,1,0.081645
64,112,112,3,7,2,2,4,32,4,1,3,0.10541
64,112,112,3,7,1,1,7,32,2,1,1,0.05651
64,112,112,3,7,2,2,7,32,1,1,3,0.10666
64,112,112,3,7,2,2,7,32,4,1,3,0.10579
64,112,112,3,7,1,1,2,32,2,4,3,0.16973
64,112,112,3,7,1,2,4,32,1,1,3,0.10605
64,112,112,3,7,2,2,2,32,1,4,1,0.062735
64,112,112,3,7,2,1,1,32,7,2,1,0.17716500000000002
64,112,112,3,7,1,1,4,32,7,2,1,0.10667499999999999
64,112,112,3,7,1,1,1,32,8,2,3,0.32042
64,112,112,3,7,1,1,2,32,4,4,3,0.25309
64,112,112,3,7,2,2,4,32,2,1,3,0.105165
64,112,112,3,7,2,1,4,32,7,1,3,0.13926
64,112,112,3,7,2,1,1,32,2,1,3,0.28272
64,112,112,3,7,2,1,7,32,8,1,1,0.08592
64,112,112,3,7,2,1,1,32,1,4,1,0.14586
64,112,112,3,7,2,1,7,32,7,1,3,0.15102500000000002
64,112,112,3,7,2,1,1,32,7,1,3,0.3112
64,112,112,3,7,2,1,1,32,1,8,3,0.221165
64,112,112,3,7,2,1,2,32,7,2,3,0.16246
64,112,112,3,7,1,1,4,32,7,2,3,0.163885
64,112,112,3,7,2,2,7,32,2,1,3,0.10822
64,112,112,3,7,1,2,2,32,7,1,1,0.11171
64,112,112,3,7,2,2,2,32,8,1,1,0.09354
64,112,112,3,7,1,1,1,32,14,1,1,0.22211
64,112,112,3,7,1,2,4,32,8,2,1,0.06409500000000001
64,112,112,3,7,1,1,1,32,4,2,3,0.281485
64,112,112,3,7,1,1,1,32,1,8,3,0.24221
64,112,112,3,7,1,2,7,32,2,1,3,0.073825
64,112,112,3,7,2,1,2,32,2,2,3,0.143245
64,112,112,3,7,2,1,1,32,16,2,3,0.3416
64,112,112,3,7,2,2,2,32,4,2,3,0.12714
64,112,112,3,7,1,1,1,32,2,1,1,0.20781
64,112,112,3,7,1,1,2,32,2,4,1,0.11182500000000001
64,112,112,3,7,1,1,2,32,4,2,3,0.1785
64,112,112,3,7,2,4,4,32,4,2,3,0.10678
64,112,112,3,7,1,2,4,32,2,2,3,0.07608000000000001
64,112,112,3,7,2,1,1,32,2,2,1,0.15752
64,112,112,3,7,1,1,2,32,8,2,1,0.16203499999999998
64,112,112,3,7,1,1,4,32,1,2,1,0.06986
64,112,112,3,7,2,2,2,32,2,4,1,0.07059
64,112,112,3,7,1,2,2,32,2,4,1,0.07894
64,112,112,3,7,2,1,2,32,8,1,1,0.107635
64,112,112,3,7,2,1,1,32,14,1,3,0.34032
64,112,112,3,7,2,1,1,32,8,1,3,0.296815
64,112,112,3,7,1,2,2,32,8,2,1,0.09523
64,112,112,3,7,2,1,2,32,4,4,3,0.22816
64,112,112,3,7,2,1,2,32,1,2,3,0.143135
64,112,112,3,7,1,2,7,32,8,1,1,0.05667
64,112,112,3,7,2,1,1,32,7,4,1,0.204465
64,112,112,3,7,1,1,2,32,14,2,3,0.21274
64,112,112,3,7,2,2,2,32,2,2,1,0.06584000000000001
64,112,112,3,7,2,2,4,32,8,1,3,0.10848
64,112,112,3,7,2,1,1,32,4,8,1,0.19267
64,112,112,3,7,1,1,1,32,7,1,3,0.34442
64,112,112,3,7,1,2,4,32,7,1,3,0.12208
64,112,112,3,7,2,2,4,32,14,1,1,0.078415
64,112,112,3,7,2,1,4,32,8,2,3,0.13344
64,112,112,3,7,1,1,1,32,2,8,3,0.28278
64,112,112,3,7,2,2,4,32,7,2,1,0.06531
64,112,112,3,7,1,2,4,32,1,2,3,0.0752
64,112,112,3,7,2,1,2,32,14,2,1,0.13232
64,112,112,3,7,2,1,4,32,4,2,3,0.11862
64,112,112,3,7,2,4,4,32,7,1,3,0.16797
64,112,112,3,7,2,1,4,32,2,1,3,0.119825
64,112,112,3,7,1,2,7,32,7,1,1,0.05552
64,112,112,3,7,2,1,1,32,2,8,1,0.14932499999999999
64,112,112,3,7,1,4,4,32,4,2,3,0.070895
