K,H,W,C,R,TK,TH,TW,BK,BH,BW,CMult,Time
128,27,27,128,3,4,1,1,32,1,1,4,0.25952
128,27,27,128,3,1,3,3,32,3,1,1,0.148625
128,27,27,128,3,4,1,3,32,9,1,8,0.1569
128,27,27,128,3,1,3,9,32,3,1,2,0.10179
128,27,27,128,3,4,1,3,32,1,9,8,0.13958
128,27,27,128,3,2,1,1,32,3,1,4,0.21643
128,27,27,128,3,2,1,3,32,1,1,8,0.17075
128,27,27,128,3,1,1,1,32,1,3,4,0.23615999999999998
128,27,27,128,3,4,1,9,32,9,3,16,0.066225
128,27,27,128,3,2,3,3,32,3,3,16,0.08195
128,27,27,128,3,2,3,3,32,3,3,1,0.25500500000000004
128,27,27,128,3,4,1,1,32,1,9,1,0.253425
128,27,27,128,3,1,3,3,32,9,1,8,0.11235
128,27,27,128,3,2,1,9,32,9,1,16,0.075245
128,27,27,128,3,2,3,3,32,3,9,1,0.46733
128,27,27,128,3,1,9,9,32,3,1,2,0.175825
128,27,27,128,3,4,1,9,32,3,3,16,0.068045
128,27,27,128,3,1,3,9,32,9,1,4,0.083345
128,27,27,128,3,2,1,27,32,1,1,4,0.06475
128,27,27,128,3,4,3,9,32,1,3,2,0.18961499999999998
128,27,27,128,3,4,3,9,32,9,1,4,0.228205
128,27,27,128,3,1,1,9,32,3,3,8,0.07562
128,27,27,128,3,2,1,3,32,3,9,4,0.186
128,27,27,128,3,4,1,1,32,1,1,1,0.23102499999999998
128,27,27,128,3,1,1,1,32,3,9,2,0.32155500000000004
128,27,27,128,3,4,1,1,32,9,3,16,0.32328
128,27,27,128,3,1,3,9,32,1,1,1,0.15329500000000001
128,27,27,128,3,1,1,3,32,1,3,32,0.16682
128,27,27,128,3,4,3,3,32,1,9,2,0.25258
128,27,27,128,3,4,1,1,32,9,3,4,0.229935
128,27,27,128,3,4,1,9,32,1,1,1,0.33744
128,27,27,128,3,1,1,9,32,9,1,16,0.08426
128,27,27,128,3,4,1,9,32,1,1,4,0.10688
128,27,27,128,3,4,1,9,32,9,3,2,0.32062
128,27,27,128,3,1,1,9,32,1,3,32,0.077905
128,27,27,128,3,1,1,9,32,1,3,1,0.12122
128,27,27,128,3,4,1,3,32,3,1,1,0.338335
128,27,27,128,3,2,3,3,32,1,9,8,0.07485
128,27,27,128,3,1,1,3,32,1,3,2,0.132145
128,27,27,128,3,4,3,3,32,1,1,8,0.121645
128,27,27,128,3,2,1,3,32,9,3,16,0.16806500000000002
128,27,27,128,3,1,1,1,32,3,1,16,0.35862
128,27,27,128,3,2,1,27,32,3,1,2,0.111155
128,27,27,128,3,1,1,3,32,1,3,16,0.13339499999999999
128,27,27,128,3,1,3,3,32,1,9,2,0.111725
128,27,27,128,3,2,1,3,32,3,3,2,0.129585
128,27,27,128,3,2,1,1,32,3,9,16,0.321535
128,27,27,128,3,4,1,27,32,3,1,32,0.08723
128,27,27,128,3,2,1,3,32,3,3,1,0.171825
128,27,27,128,3,2,1,3,32,1,1,32,0.272945
128,27,27,128,3,4,3,9,32,1,3,8,0.08502
128,27,27,128,3,1,3,3,32,9,3,32,0.118515
128,27,27,128,3,4,1,3,32,1,1,4,0.13058999999999998
128,27,27,128,3,1,1,1,32,9,1,2,0.299825
128,27,27,128,3,2,1,3,32,1,1,4,0.14301999999999998
128,27,27,128,3,2,3,9,32,3,1,16,0.06835
128,27,27,128,3,1,1,9,32,1,1,1,0.13616
128,27,27,128,3,4,1,3,32,1,3,16,0.12961499999999998
128,27,27,128,3,2,1,3,32,3,3,32,0.17814
128,27,27,128,3,1,1,9,32,3,3,16,0.0743
128,27,27,128,3,2,3,3,32,9,3,1,0.5099
128,27,27,128,3,1,3,27,32,1,1,32,0.07688
128,27,27,128,3,1,3,9,32,1,3,1,0.14845
128,27,27,128,3,2,1,9,32,9,1,2,0.130035
128,27,27,128,3,4,1,1,32,3,9,1,0.36768
128,27,27,128,3,2,3,3,32,9,3,16,0.1001
128,27,27,128,3,4,1,1,32,3,9,4,0.22758499999999998
128,27,27,128,3,2,3,9,32,1,3,32,0.054415
128,27,27,128,3,2,3,3,32,9,1,8,0.10787
128,27,27,128,3,4,3,3,32,9,3,1,0.8853599999999999
128,27,27,128,3,2,1,9,32,3,3,2,0.11430499999999999
128,27,27,128,3,2,1,27,32,3,1,32,0.054625
128,27,27,128,3,4,1,3,32,9,3,1,0.5187999999999999
128,27,27,128,3,4,1,1,32,1,3,8,0.19626
128,27,27,128,3,2,3,3,32,1,1,4,0.09523
128,27,27,128,3,2,1,3,32,9,3,1,0.331665
128,27,27,128,3,4,3,3,32,9,1,1,0.562735
128,27,27,128,3,2,1,9,32,1,1,4,0.07186000000000001
128,27,27,128,3,1,1,9,32,3,3,4,0.08746
128,27,27,128,3,1,1,9,32,1,3,2,0.08312
128,27,27,128,3,4,1,3,32,9,3,8,0.18073499999999998
128,27,27,128,3,2,1,9,32,3,1,8,0.06509000000000001
128,27,27,128,3,1,1,9,32,9,3,2,0.15971
128,27,27,128,3,2,1,1,32,3,3,8,0.21333
128,27,27,128,3,4,1,1,32,3,1,2,0.21536
128,27,27,128,3,4,1,1,32,3,9,32,0.436045
128,27,27,128,3,2,3,9,32,3,3,8,0.068945
128,27,27,128,3,2,3,9,32,1,1,16,0.06536
128,27,27,128,3,1,3,3,32,1,9,8,0.07395
128,27,27,128,3,2,1,3,32,1,9,8,0.11606
128,27,27,128,3,4,1,1,32,1,1,32,0.651635
128,27,27,128,3,4,3,3,32,9,1,32,0.237215
128,27,27,128,3,1,1,1,32,9,1,4,0.29661
128,27,27,128,3,1,1,9,32,9,3,1,0.30746
128,27,27,128,3,1,3,9,32,1,3,4,0.06755
128,27,27,128,3,4,1,1,32,9,1,32,0.49435
128,27,27,128,3,1,1,3,32,1,1,2,0.16801500000000003
128,27,27,128,3,2,1,1,32,3,9,1,0.242095
128,27,27,128,3,2,3,9,32,1,3,1,0.289585
128,27,27,128,3,4,1,9,32,1,1,16,0.091075
128,27,27,128,3,2,1,27,32,9,1,4,0.12576
128,27,27,128,3,4,3,3,32,1,3,1,0.4236
128,27,27,128,3,2,1,3,32,1,3,16,0.126255
128,27,27,128,3,1,1,3,32,9,3,2,0.223885
128,27,27,128,3,2,1,3,32,3,3,4,0.12986999999999999
128,27,27,128,3,4,1,1,32,1,3,2,0.19896
128,27,27,128,3,1,9,9,32,1,3,8,0.08314
128,27,27,128,3,4,3,9,32,9,1,8,0.13869
128,27,27,128,3,1,1,3,32,3,1,1,0.16513499999999998
128,27,27,128,3,4,3,3,32,1,3,8,0.09848
128,27,27,128,3,2,1,1,32,3,1,16,0.30017499999999997
128,27,27,128,3,2,3,9,32,3,1,2,0.16086
128,27,27,128,3,1,1,9,32,9,1,2,0.126465
128,27,27,128,3,4,1,9,32,1,3,2,0.16900500000000002
128,27,27,128,3,4,1,3,32,1,9,1,0.33748500000000003
128,27,27,128,3,2,1,3,32,1,9,2,0.12509
128,27,27,128,3,2,1,1,32,9,1,16,0.32656
128,27,27,128,3,2,3,9,32,3,1,32,0.079935
128,27,27,128,3,1,1,9,32,3,1,1,0.14304
128,27,27,128,3,4,3,9,32,3,1,4,0.1256
128,27,27,128,3,2,1,3,32,9,1,8,0.14216
128,27,27,128,3,1,1,1,32,1,1,16,0.563215
128,27,27,128,3,4,1,3,32,3,9,2,0.2735
128,27,27,128,3,2,3,9,32,1,1,32,0.07901
128,27,27,128,3,2,1,1,32,3,9,4,0.25885
128,27,27,128,3,2,3,9,32,3,3,16,0.07747
128,27,27,128,3,1,1,1,32,9,3,4,0.306415
128,27,27,128,3,2,1,9,32,9,3,4,0.12048
128,27,27,128,3,2,3,3,32,1,1,32,0.187425
128,27,27,128,3,1,1,27,32,9,1,32,0.09107
128,27,27,128,3,2,1,1,32,1,1,2,0.27139
128,27,27,128,3,4,1,27,32,3,1,4,0.104755
128,27,27,128,3,2,1,3,32,3,1,1,0.17669
128,27,27,128,3,1,1,1,32,1,9,8,0.26616
128,27,27,128,3,1,9,9,32,1,1,32,0.14621
128,27,27,128,3,4,3,3,32,3,9,2,0.44472
128,27,27,128,3,4,3,9,32,1,1,2,0.2128
128,27,27,128,3,2,3,3,32,9,3,2,0.264785
128,27,27,128,3,1,1,1,32,3,3,1,0.2496
128,27,27,128,3,1,3,9,32,9,1,1,0.272895
128,27,27,128,3,4,1,27,32,3,1,1,0.35104
128,27,27,128,3,4,3,3,32,3,1,4,0.160115
128,27,27,128,3,1,1,3,32,3,9,2,0.2223
128,27,27,128,3,1,1,9,32,9,3,8,0.093935
128,27,27,128,3,2,1,27,32,3,1,1,0.20888
128,27,27,128,3,1,3,27,32,3,1,4,0.0753
128,27,27,128,3,4,3,9,32,1,3,16,0.069965
128,27,27,128,3,4,1,3,32,1,3,2,0.17408
128,27,27,128,3,4,1,27,32,1,1,1,0.3545
128,27,27,128,3,1,1,3,32,3,1,2,0.150285
128,27,27,128,3,2,3,3,32,9,1,16,0.12054
128,27,27,128,3,1,3,3,32,3,3,16,0.08918
128,27,27,128,3,1,1,1,32,3,9,16,0.3959
128,27,27,128,3,1,3,3,32,3,3,4,0.095155
128,27,27,128,3,4,1,9,32,3,1,32,0.073135
128,27,27,128,3,2,3,3,32,1,9,2,0.119155
128,27,27,128,3,1,1,1,32,9,3,16,0.40435
128,27,27,128,3,4,1,1,32,3,1,16,0.30784
128,27,27,128,3,4,1,1,32,1,3,1,0.21232
128,27,27,128,3,1,1,1,32,1,1,4,0.41961499999999996
128,27,27,128,3,2,1,1,32,1,3,16,0.243855
128,27,27,128,3,2,1,9,32,1,3,32,0.06864
128,27,27,128,3,1,1,9,32,9,1,1,0.179025
128,27,27,128,3,2,3,3,32,1,9,32,0.0817
128,27,27,128,3,2,1,3,32,3,9,8,0.159635
128,27,27,128,3,1,1,27,32,9,1,16,0.07622499999999999
128,27,27,128,3,2,1,9,32,9,3,1,0.42791999999999997
128,27,27,128,3,1,3,27,32,3,1,8,0.08301
128,27,27,128,3,2,1,3,32,1,1,2,0.13061
128,27,27,128,3,4,1,9,32,9,1,8,0.08630499999999999
128,27,27,128,3,2,1,1,32,1,1,32,0.658335
128,27,27,128,3,2,1,3,32,1,1,1,0.16936
128,27,27,128,3,1,1,1,32,3,9,4,0.30394
128,27,27,128,3,1,1,3,32,3,9,16,0.17739500000000002
128,27,27,128,3,4,1,3,32,9,3,2,0.27462
128,27,27,128,3,4,1,3,32,1,9,4,0.122685
128,27,27,128,3,2,1,9,32,3,3,1,0.21293
