K,H,W,C,R,Th,Tw,Tk,Wh,Ww,Wk,Bh,Bw,Bk,Time
512, 192, 192, 128, 3, 1, 1, 4, 1, 16, 2, 1, 12, 2, 20.873024 
512, 192, 192, 128, 3, 1, 1, 4, 1, 32, 1, 2, 6, 1, 15.349216 
512, 192, 192, 128, 3, 1, 1, 4, 1, 32, 1, 3, 6, 1, 16.260704 
512, 192, 192, 128, 3, 1, 1, 4, 1, 32, 1, 4, 6, 1, 14.423776 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 8, 1, 32, 1, 3, 6, 1, 11.719328 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 16, 1, 32, 1, 2, 6, 1, 11.094720 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 16, 1, 32, 1, 1, 6, 2, 10.355488 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
512, 192, 192, 128, 3, 1, 1, 32, 1, 16, 2, 1, 12, 1, 16.057953 
Error: /home/yufan/convolution_kernel/yufan-test-kernel/testbed/regression/CSG512x192x192_128_3.cu:170, code: 701, reason: too many resources requested for launch
